source_file,title,chapter,chapter_no,section,section_no,total,correct,wrong,rate,zt_total,zt_correct,zb_total,zb_correct,has_data,section_order,date_or_page,first_total,first_correct,first_wrong,first_rate,second_total,second_correct,second_wrong,second_rate,has_first_data,has_second_data,first_rate_pct,second_rate_pct
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.3 二叉树的遍历和线索二叉树,5.3,43.0,40.0,3.0,0.9302325581395348,12.0,11.0,31.0,29.0,True,3,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.4 树、森林,5.4,21.0,20.0,1.0,0.9523809523809524,7.0,7.0,14.0,13.0,True,4,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第5章 树与二叉树,5,5.5 树与二叉树的应用,5.5,23.0,20.0,3.0,0.8695652173913043,10.0,9.0,13.0,11.0,True,5,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第6章 图,6,6.1 图的基本概念,6.1,18.0,17.0,1.0,0.9444444444444444,4.0,3.0,14.0,14.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第6章 图,6,6.2 图的存储及基本操作,6.2,20.0,19.0,1.0,0.95,2.0,2.0,18.0,17.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第6章 图,6,6.3 图的遍历,6.3,18.0,14.0,4.0,0.7777777777777778,4.0,3.0,14.0,11.0,True,3,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第6章 图,6,6.4 图的应用,6.4,47.0,40.0,7.0,0.851063829787234,21.0,18.0,26.0,22.0,True,4,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第7章 查找,7,7.1 查找的基本概念,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第7章 查找,7,7.2 顺序查找和折半查找,7.2,26.0,23.0,3.0,0.8846153846153846,7.0,6.0,19.0,17.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第7章 查找,7,7.3 树形查找,7.3,27.0,20.0,7.0,0.7407407407407407,12.0,10.0,15.0,10.0,True,3,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第7章 查找,7,7.4 B树和B+树,7.4,25.0,23.0,2.0,0.92,12.0,11.0,13.0,12.0,True,4,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第7章 查找,7,7.5 散列(Hash)表,7.5,24.0,23.0,1.0,0.9583333333333334,7.0,7.0,17.0,16.0,True,5,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.1 排序的基本概念,8.1,3.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,True,1,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.2 插入排序,8.2,20.0,18.0,2.0,0.9,4.0,4.0,16.0,14.0,True,2,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.3 交换排序,8.3,20.0,18.0,2.0,0.9,6.0,6.0,14.0,12.0,True,3,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.4 选择排序,8.4,21.0,16.0,5.0,0.7619047619047619,7.0,5.0,14.0,11.0,True,4,,,,,,,,,,,,,
王道数据结构,王道数据结构 课后习题正确率记录,第8章 排序,8,8.5 归并排序、基数排序和计数排序,8.5,20.0,16.0,4.0,0.8,6.0,4.0,14.0,12.0,True,5,,,,,,,,,,,,,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.1 计算机发展历程,1.1,,,,,,,,,,1,507.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,True,False,100.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.2 计算机系统层次结构,1.2,,,,,,,,,,2,507.0,14.0,13.0,1.0,0.9285714285714286,0.0,0.0,0.0,,True,False,92.85714285714286,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第1章 计算机系统概述,1,1.3 计算机的性能指标,1.3,,,,,,,,,,3,508.0,20.0,12.0,8.0,0.6,0.0,0.0,0.0,,True,False,60.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.1 数制与编码,2.1,,,,,,,,,,1,509.0,34.0,25.0,9.0,0.7352941176470589,0.0,0.0,0.0,,True,False,73.52941176470588,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.2 运算方法和运算电路,2.2,,,,,,,,,,2,510.0,35.0,25.0,10.0,0.7142857142857143,0.0,0.0,0.0,,True,False,71.42857142857143,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第2章 数据的表示和运算,2,2.3 浮点数的表示与运算,2.3,,,,,,,,,,3,512.0,45.0,37.0,8.0,0.8222222222222222,0.0,0.0,0.0,,True,False,82.22222222222221,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.1 存储器概述,3.1,,,,,,,,,,1,513.0,11.0,10.0,1.0,0.9090909090909092,0.0,0.0,0.0,,True,False,90.9090909090909,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.2 主存储器,3.2,,,,,,,,,,2,514.0,37.0,30.0,7.0,0.8108108108108109,0.0,0.0,0.0,,True,False,81.08108108108108,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.3 主存储器与CPU的连接,3.3,,,,,,,,,,3,515.0,15.0,11.0,4.0,0.7333333333333333,0.0,0.0,0.0,,True,False,73.33333333333333,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.4 外部存储器,3.4,,,,,,,,,,4,516.0,12.0,9.0,3.0,0.75,0.0,0.0,0.0,,True,False,75.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.5 高速缓冲存储器,3.5,,,,,,,,,,5,516.0,35.0,22.0,13.0,0.6285714285714286,0.0,0.0,0.0,,True,False,62.85714285714285,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第3章 存储系统,3,3.6 虚拟存储器,3.6,,,,,,,,,,6,517.0,20.0,12.0,8.0,0.6,0.0,0.0,0.0,,True,False,60.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.1 指令系统,4.1,,,,,,,,,,1,518.0,16.0,12.0,4.0,0.75,0.0,0.0,0.0,,True,False,75.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.2 寻址方式,4.2,,,,,,,,,,2,518.0,33.0,25.0,8.0,0.7575757575757576,0.0,0.0,0.0,,True,False,75.75757575757575,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.3 程序的机器级代码表示,4.3,,,,,,,,,,3,519.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第4章 指令系统,4,4.4 CISC和RISC的基本概念,4.4,,,,,,,,,,4,520.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,,True,False,100.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.1 CPU的功能和基本结构,5.1,,,,,,,,,,1,521.0,24.0,15.0,9.0,0.625,0.0,0.0,0.0,,True,False,62.5,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.2 指令执行过程,5.2,,,,,,,,,,2,521.0,11.0,8.0,3.0,0.7272727272727273,0.0,0.0,0.0,,True,False,72.72727272727273,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.3 数据通路的功能和基本结构,5.3,,,,,,,,,,3,522.0,18.0,12.0,6.0,0.6666666666666666,0.0,0.0,0.0,,True,False,66.66666666666666,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.4 控制器的功能和工作原理,5.4,,,,,,,,,,4,523.0,27.0,22.0,5.0,0.8148148148148148,0.0,0.0,0.0,,True,False,81.48148148148148,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.5 异常和中断机制,5.5,,,,,,,,,,5,524.0,13.0,7.0,6.0,0.5384615384615384,0.0,0.0,0.0,,True,False,53.84615384615385,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.6 指令流水线,5.6,,,,,,,,,,6,525.0,33.0,31.0,2.0,0.9393939393939394,0.0,0.0,0.0,,True,False,93.93939393939394,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第5章 中央处理器,5,5.7 多处理器的基本概念,5.7,,,,,,,,,,7,525.0,12.0,10.0,2.0,0.8333333333333334,0.0,0.0,0.0,,True,False,83.33333333333334,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第6章 总线,6,6.1 总线概述,6.1,,,,,,,,,,1,526.0,25.0,20.0,5.0,0.8,0.0,0.0,0.0,,True,False,80.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第6章 总线,6,6.2 总线事务和定时,6.2,,,,,,,,,,2,526.0,20.0,16.0,4.0,0.8,0.0,0.0,0.0,,True,False,80.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.1 I/O系统基本概念,7.1,,,,,,,,,,1,526.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,,True,False,100.0,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.2 I/O接口,7.2,,,,,,,,,,2,527.0,17.0,10.0,7.0,0.5882352941176471,0.0,0.0,0.0,,True,False,58.82352941176471,
03_王道计组.csv,王道计算机组成原理 课后习题正确率记录,第7章 输入/输出系统,7,7.3 I/O方式,7.3,,,,,,,,,,3,528.0,55.0,33.0,22.0,0.6,0.0,0.0,0.0,,True,False,60.0,
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.1 操作系统的基本概念,1.1,11.0,10.0,1.0,0.9090909090909092,1.0,1.0,10.0,9.0,True,1,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.2 操作系统发展历程,1.2,20.0,14.0,6.0,0.7,4.0,3.0,16.0,11.0,True,2,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.3 操作系统的运行环境,1.3,33.0,25.0,8.0,0.7575757575757576,18.0,13.0,15.0,12.0,True,3,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.4 操作系统结构,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.5 操作系统引导,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.6 虚拟机,1.6,22.0,14.0,8.0,0.6363636363636364,4.0,3.0,18.0,11.0,True,6,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.1 进程与线程简介,2.1,73.0,53.0,20.0,0.726027397260274,16.0,9.0,57.0,44.0,True,1,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.2 CPU调度,2.2,57.0,46.0,11.0,0.8070175438596491,21.0,16.0,36.0,30.0,True,2,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.3 同步与互斥,2.3,56.0,46.0,10.0,0.8214285714285714,10.0,9.0,46.0,37.0,True,3,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.4 死锁,2.4,45.0,38.0,7.0,0.8444444444444444,12.0,11.0,33.0,27.0,True,4,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第3章 内存管理,3,3.1 内存管理概念,3.1,72.0,51.0,21.0,0.7083333333333334,14.0,10.0,58.0,41.0,True,1,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第3章 内存管理,3,3.2 虚拟内存管理,3.2,61.0,46.0,15.0,0.7540983606557377,19.0,14.0,42.0,32.0,True,2,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.1 文件系统基础,4.1,5.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,True,1,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.2 目录与文件,4.2,70.0,42.0,28.0,0.6,22.0,13.0,48.0,29.0,True,2,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.3 文件系统,4.3,18.0,15.0,3.0,0.8333333333333334,6.0,6.0,12.0,9.0,True,3,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.1 I/O管理概述,5.1,26.0,17.0,9.0,0.6538461538461539,4.0,4.0,22.0,13.0,True,1,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.2 设备独立性软件,5.2,46.0,33.0,13.0,0.717391304347826,11.0,7.0,35.0,26.0,True,2,,,,,,,,,,,,,
王道操作系统,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.3 磁盘和固态硬盘,5.3,35.0,29.0,6.0,0.8285714285714286,9.0,8.0,26.0,21.0,True,3,,,,,,,,,,,,,
