李林880专题 （选择&填空）习题正确率记录,,,,,,,,,,,,,
,,,,,,,,,,,,,
解答区,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,基础篇,,,综合篇,,,扩展篇,,,合计,,
章节,时间,总题数,正确数,正确率,总题数,正确数,正确率,总题数,正确数,正确率,总题数,正确数,正确率
高等数学,,,,,,,,,,,,,
第一章 函数、极限、连续,0,16,10,0.625,,,,,,,16,10,0.625
第二章 一元函数微分学及其应用,0,,,,,,,,,,0,0,#DIV/0!
第三章 一元函数积分学及其应用,0,,,,,,,,,,0,0,#DIV/0!
第四章 空间解析几何,0,,,,,,,,,,0,0,#DIV/0!
第五章 多元函数微分学及其应用,0,,,,,,,,,,0,0,#DIV/0!
第六章 重积分及其应用,0,,,,,,,,,,0,0,#DIV/0!
第七章 微分方程及其应用,0,,,,,,,,,,0,0,#DIV/0!
第八章 无穷级数,0,,,,,,,,,,0,0,#DIV/0!
第九章 曲线积分与曲面积分,0,,,,,,,,,,0,0,#DIV/0!
高等数学 合计,,16,10,0.625,0,0,#DIV/0!,0,0,#DIV/0!,16,10,0.625
,,,,,,,,,,,,,
线性代数,,,,,,,,,,,,,
第十章 行列式,0,,,,,,,,,,0,0,#DIV/0!
第十一章 矩阵,0,,,,,,,,,,0,0,#DIV/0!
第十二章 向量,0,,,,,,,,,,0,0,#DIV/0!
第十三章 线性方程组,0,,,,,,,,,,0,0,#DIV/0!
第十四章 相似矩阵,0,,,,,,,,,,0,0,#DIV/0!
第十五章 二次型,0,,,,,,,,,,0,0,#DIV/0!
线性代数 合计,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
,,,,,,,,,,,,,
概率论与数理统计,,,,,,,,,,,,,
第十六章 随机事件及其概率,0,,,,,,,,,,0,0,#DIV/0!
第十七章 随机变量及其分布,0,,,,,,,,,,0,0,#DIV/0!
第十八章 多维随机变量及其分布,0,,,,,,,,,,0,0,#DIV/0!
第十九章 随机变量的数字特征,0,,,,,,,,,,0,0,#DIV/0!
第二十章 大数定律与中心极限定理,0,,,,,,,,,,0,0,#DIV/0!
第二十一章 数理统计的基本概念,0,,,,,,,,,,0,0,#DIV/0!
第二十二章 参数估计,0,,,,,,,,,,0,0,#DIV/0!
第二十三章 假设检验,0,,,,,,,,,,0,0,#DIV/0!
概率论与数理统计 合计,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
总 计,,16,10,0.625,0,0,#DIV/0!,0,0,#DIV/0!,16,10,0.625
,,,,,,,,,,,,,
,,,,,,,,,,,,,
选填+解答总计区,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,选填区,,,解答区,,,总计,,,,,
章节,时间,总题数,正确数,正确率,总题数,正确数,正确率,总题数,正确数,正确率,,,
高等数学,,,,,,,,,,,,,
第一章 函数、极限、连续,0,37,26,0.7027027027027027,16,10,0.625,53,36,0.6792452830188679,,,
第二章 一元函数微分学及其应用,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第三章 一元函数积分学及其应用,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第四章 空间解析几何,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第五章 多元函数微分学及其应用,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第六章 重积分及其应用,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第七章 微分方程及其应用,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第八章 无穷级数,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第九章 曲线积分与曲面积分,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
高等数学 合计,,37,26,0.7027027027027027,16,10,0.625,53,36,0.6792452830188679,,,
,,,,,,,,,,,,,
线性代数,,,,,,,,,,,,,
第十章 行列式,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十一章 矩阵,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十二章 向量,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十三章 线性方程组,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十四章 相似矩阵,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十五章 二次型,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
线性代数 合计,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
,,,,,,,,,,,,,
概率论与数理统计,,,,,,,,,,,,,
第十六章 随机事件及其概率,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十七章 随机变量及其分布,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十八章 多维随机变量及其分布,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第十九章 随机变量的数字特征,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第二十章 大数定律与中心极限定理,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第二十一章 数理统计的基本概念,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第二十二章 参数估计,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
第二十三章 假设检验,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
概率论与数理统计 合计,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,
总 计,,37,26,0.7027027027027027,16,10,0.625,53,36,0.6792452830188679,,,
